"SAMPLE_ID";"Formation_name";"orig.form.nr";"form.nr";"K1";"K2";"K.mid";"Lat";"Long";"Data_collection_1";"Data_collection_2";"Total";"num.with.colonies";"std.weight";"std.area";"Species_Aimulosia_marsupium";"Species_Antarctothoa_tongima";"Species_Arachnopusia_unicornis";"Species_Bitectipora_rostrata";"Species_Calloporina_angustipora";"Species_Escharella_spinosissima";"Species_Escharoides_angela";"Species_Escharoides_excavata";"Species_Exochella_armata";"Species_Exochella_conjuncta";"Species_Fenestrulina_reticulata";"Species_Figularia_carinata";"Species_Hippomenella_vellicata";"Species_Microporella_aff_speculum";"Species_Microporella_agonistes";"Species_Microporella_discors";"Species_Microporella_intermedia";"Species_Microporella_rusti";"Species_Microporella_speculum";"Species_Prenantia_firmata";"Species_Steginoporella_magnifica";"Species_Superspecies";"Unidentified_Microporella";"Genus_Aimulosia";"Genus_Antarctothoa";"Genus_Arachnopusia";"Genus_Bitectipora";"Genus_Calloporina";"Genus_Escharella";"Genus_Escharoides";"Genus_Exochella";"Genus_Fenestrulina";"Genus_Figularia";"Genus_Hippomenella";"Genus_Microporella";"Genus_Prenantia";"Genus_Steginoporella"
"92";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8658833333333;174.762766666667;"MHR";"EDM";30;0;63.8599810785241;55.7908438193074;2;78;10;3;1;54;0;20;0;0;2;0;0;0;0;0;0;3;0;0;1;235;0;2;78;10;3;1;54;20;0;2;0;0;3;0;1
"93";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8660333333333;174.761433333333;"MHR";"EDM";30;0;47.2078038303204;46.5222981486136;13;34;12;3;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;220;0;13;34;12;3;0;3;3;0;0;0;0;0;0;0
"94";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.86605;174.761116666667;"MHR";"EDM";30;0;65.0393771254698;55.7238679195321;5;86;15;5;2;4;2;19;0;0;0;0;0;0;0;0;0;1;0;0;0;251;0;5;86;15;5;2;4;21;0;0;0;0;1;0;0
"95";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.86595;174.760916666667;"MHR";"EDM";30;0;58.2602470019689;52.513478583365;1;31;10;0;0;3;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;102;0;1;31;10;0;0;3;7;1;0;0;0;0;0;0
"96";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.86595;174.76075;"MHR";"EDM";30;0;48.3584341200235;48.3517184553192;3;4;17;5;0;2;0;17;0;0;1;0;0;0;0;0;0;1;0;1;0;106;0;3;4;17;5;0;2;17;0;1;0;0;1;1;0
"97";"Landguard Formation";1;10;0.3;0.32;0.31;39.9568166666667;175.02695;"MHR";"EDM";66;0;254.847562794583;192.83989611348;3;282;43;2;42;0;0;0;0;0;0;0;0;0;1;2;0;0;2;0;0;517;18;3;282;43;2;42;0;0;0;0;0;0;23;0;0
"98";"Landguard Formation";1;10;0.3;0.32;0.31;39.9568166666667;175.02695;"MHR";"EDM";30;0;50.3624485412565;49.0346101767285;0;35;4;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;131;5;0;35;4;0;9;0;0;0;1;0;0;7;0;0
"99";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9059833333333;174.939933333333;"MHR";"EDM";50;0;40.2720601396098;45.9261090893172;37;2;1;8;30;0;0;0;0;24;4;0;3;0;9;0;0;0;2;0;0;142;8;37;2;1;8;30;0;0;24;4;0;3;19;0;0
"40";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8660833333333;174.761733333333;"MHR";"EDM";30;0;53.5411876471479;49.1874005759316;9;81;8;5;0;24;3;25;0;0;0;0;1;0;0;0;0;3;0;0;0;276;0;9;81;8;5;0;24;28;0;0;0;1;3;0;0
"54";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8283166666667;174.881933333333;"MHR";"EDM";30;0;80.1637730445678;64.4251052183489;8;9;11;0;0;0;0;3;0;1;0;0;0;0;8;0;0;0;0;4;5;278;0;8;9;11;0;0;0;3;1;0;0;0;8;4;5
"56";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.85786667;174.7853333;"MHR";"EDM";50;0;100.047368259289;82.011721058476;17;4;2;0;5;0;9;18;0;2;31;0;6;0;63;0;0;0;1;0;4;285;0;17;4;2;0;5;0;27;2;31;0;6;64;0;4
"129";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.861517;174.779133;"MHR";"EDM";54;0;29.1897858123024;28.8767391788919;13;37;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;1;0;111;0;13;37;0;0;0;0;2;0;5;0;0;0;1;0
"152";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.865933;174.76265;"MHR";"EDM";52;0;14.5277728059185;25.6804595726267;2;5;18;1;1;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;110;1;2;5;18;1;1;0;5;0;0;0;0;3;0;0
"259";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8939;174.918083;"EDM";"EDM";61;0;6.08555575442993;13.7963282186925;9;0;0;0;0;0;0;0;0;4;0;1;0;1;8;0;0;0;0;0;0;202;0;9;0;0;0;0;0;0;4;0;1;0;9;0;0
"226";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.897767;174.925267;"EDM";"EDM";58;0;11.3656703060677;20.2520146401844;3;1;0;0;1;0;0;0;0;0;0;1;0;0;11;0;0;0;1;3;0;42;0;3;1;0;0;1;0;0;0;0;1;0;12;3;0
"193";"Lower Kai-iwi Shellbed";23;3;0.93;0.97;0.95;39.881433;174.8887;"EDM";"EDM";64;0;44.1948571087644;44.1147980529048;4;7;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;162;1;4;7;0;0;0;0;0;0;0;0;0;13;0;0
"175";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857633;174.788983;"EDM";"EDM";49;0;65.7478670723704;60.4358011865218;26;28;0;0;0;0;0;1;0;0;23;0;0;0;6;0;0;0;0;0;0;209;0;26;28;0;0;0;0;1;0;23;0;0;6;0;0
"174";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857633;174.788983;"EDM";"EDM";57;0;18.6892190203448;25.8449544505425;2;6;1;0;4;1;1;1;0;0;4;0;1;0;3;0;0;0;0;0;0;29;0;2;6;1;0;4;1;2;0;4;0;1;3;0;0
"170";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857567;174.78765;"EDM";"EDM";50;0;22.6567627229879;23.7045515284696;10;2;0;0;5;0;0;1;0;0;5;0;1;0;3;0;0;0;0;1;10;41;0;10;2;0;0;5;0;1;0;5;0;1;3;1;10
